account_id,account_name,system,owner_employee_id,shared,privileged,created_date,last_reviewed_date,status
SA-001,SVC-Okta-Provisioning,Okta,EMP-0145,Y,Y,2024-03-21,,Active
SA-002,SVC-CI-Deploy-Prod,GitHub / AWS,EMP-0139,Y,Y,2025-11-13,2025-10-29,Active
SA-003,SVC-CI-Deploy-Staging,GitHub / AWS,EMP-0013,Y,N,2024-07-06,2025-08-20,Active
SA-004,SVC-Backup-RDS,AWS RDS,EMP-0100,Y,Y,2020-12-06,,Active
SA-005,SVC-Monitoring-Datadog,AWS,EMP-0182,N,N,2021-05-03,2026-04-24,Active
SA-006,SVC-Salesforce-Sync,Salesforce,EMP-0040,Y,N,2020-09-02,2025-10-03,Active
SA-007,SVC-Stripe-Billing,Stripe,EMP-0178,N,Y,2022-02-20,2026-03-29,Active
SA-008,SVC-Slack-Bot-Ops,Slack,EMP-0194,Y,N,2025-07-17,2026-06-02,Active
SA-009,SVC-S3-DocPipeline,AWS S3,,Y,Y,2025-04-22,,Active
SA-010,SVC-EKS-ClusterAdmin,AWS EKS,,Y,Y,2022-05-31,2025-09-21,Active
SA-011,SVC-Notion-Sync,Notion,EMP-0142,Y,N,2024-08-22,2026-01-16,Active
SA-012,SVC-GitHub-Actions-Bot,GitHub,EMP-0011,Y,N,2022-04-26,,Active
SA-013,SVC-Legacy-EDiscovery-App,Internal App,EMP-0014,Y,Y,2023-11-24,,Active
SA-014,SVC-HRIS-Integration,HRIS,EMP-0103,N,N,2025-01-27,2026-04-28,Active
SA-015,SVC-Zendesk-Support-Bot,Support Tooling,EMP-0122,N,N,2024-07-05,,Active
SA-016,SVC-Terraform-CloudOps,AWS,,Y,Y,2025-10-02,2026-05-26,Active
SA-017,SVC-VPN-Gateway,Network,EMP-0143,N,Y,2023-03-02,2026-04-20,Active
SA-018,SVC-DB-Migration-Runner,AWS RDS,EMP-0120,Y,N,2022-03-14,2025-09-24,Active
