risk_id,title,category,description,threat_scenario,likelihood,impact,inherent_risk,inherent_risk_band,existing_controls,control_effectiveness_pct,residual_risk,residual_risk_band,treatment,treatment_rationale,owner,due_date,compensating_control,acceptance_expiry,escalation_path,status,framework_mapping
R-001,No formal joiner-mover-leaver (JML) process,Joiner-Mover-Leaver,"Access provisioning and deprovisioning is handled ad hoc via manager requests rather than a defined, auditable workflow tied to HR events.","A new hire, transfer, or termination event is missed or delayed, resulting in inappropriate access to client matter data.",4,4,16,High,Manual HR-to-IT handoff via Slack ticket; no automated provisioning/deprovisioning workflow.,25,12,Medium,Mitigate,"A checklist or second-reviewer step would raise effectiveness somewhat, but it's still a manual process with the same failure mode, someone has to remember to do it. Given the low risk appetite for customer-data exposure and that this is a founding gap behind several other risks in this register (R-002, R-010), the fix needs to remove the dependency on human memory entirely, not just add redundancy to it. That's worth the engineering investment here even though a cheaper interim fix exists.",VP Engineering,2026-11-30,,,,Open,"SOC 2 CC6.1, CC6.2 | NIST CSF PR.AA-01, PR.AA-05"
R-002,Incomplete offboarding leaves terminated employees with active access,Joiner-Mover-Leaver,Okta deactivation at termination is performed manually and not systematically verified; identity data confirms several terminated employees remain Active in Okta.,A terminated employee retains valid SSO credentials and accesses client matter data or internal systems after separation.,4,5,20,Critical,"Manager notifies IT at termination; Okta deactivation performed manually, without a closing verification step.",25,15,High,Mitigate,"The identity inventory already shows this happening: at least one terminated employee remains Active in Okta with no deactivation recorded. Given Veridian's low risk appetite for customer-data exposure and that this is the highest inherent-risk item in the register at 20 (Critical), same-day automated deprovisioning tied to the HRIS termination event removes reliance on a manager remembering to notify IT, which is the exact failure mode the data already shows.",IT/Security Manager,2026-10-15,,,,Open,"SOC 2 CC6.2, CC6.3 | NIST CSF PR.AA-01"
R-003,Shared service accounts without individual ownership,Privileged Access,Several service/system accounts are shared across a team or system with no single accountable owner.,"An action taken under a shared account cannot be attributed to an individual, and access is never revisited because no one owns the decision to do so.",3,3,9,Medium,Service accounts are documented in an internal wiki page; no periodic ownership attestation.,25,7,Medium,Mitigate,"A residual score of 7 is still Medium, and the core issue is accountability. If an action taken under a shared account causes a problem, there is no way to trace it back to a person. It is also lower priority than the JML-related risks in this register since it does not need new tooling. Assigning a named owner and requiring periodic attestation closes the accountability gap, and it is realistic to do alongside the higher-priority automation work rather than waiting for it.",IT/Security Manager,2026-12-31,,,,Open,SOC 2 CC6.1 | NIST CSF PR.AA-05
R-004,Irregular user access reviews (UARs) for privileged roles,Access Reviews,"UARs for privileged and admin roles are performed roughly annually via manager email confirmation, with no formal cadence, tooling, or completion tracking.",Privileged access that should have been revoked persists for months because no review cycle catches it.,4,4,16,High,Ad hoc annual UAR conducted by email; completion is not tracked centrally.,25,12,Medium,Mitigate,DRAFT: Move to a quarterly UAR cadence for privileged roles with a system of record tracking who reviewed what and when (see automation plan in Stage 5).,Compliance Analyst,2026-11-15,,,,Open,"SOC 2 CC6.1, CC6.3 | NIST CSF PR.AA-05"
R-005,Excess vendor access to client data,Vendor/Third-Party,"Vendor and subprocessor access (e.g., e-discovery data processing) is provisioned at contract signing and not periodically reviewed for continued necessity or scope.","A subprocessor retains broader access than its current engagement requires, widening the pool of parties that could expose client data in a breach.",3,4,12,Medium,Vendor access provisioned at contract signing; SOC 2 reports requested from major subprocessors at renewal.,25,9,Medium,Transfer,"DRAFT: Strengthen data processing addendum and indemnification language with key subprocessors so contractual liability, not just internal control, absorbs a share of this exposure while access-review process work happens in parallel.",Legal & Compliance,2027-01-31,,,,Open,SOC 2 CC9.2 | NIST CSF GV.SC-06
R-006,Privileged session logging gaps,Logging & Monitoring,"AWS API activity is logged via CloudTrail, but interactive admin sessions (SSH, kubectl, cloud console UI actions) are not separately recorded.",A privileged user takes a harmful or mistaken action through an interactive session that leaves no session-level audit trail for investigation.,3,4,12,Medium,CloudTrail enabled for AWS API calls across all accounts.,25,9,Medium,Mitigate,DRAFT: Deploy session recording for interactive privileged access (SSH/kubectl/console) so API-level logging is no longer the only record of admin activity.,IT/Security Manager,2027-02-15,,,,Open,"SOC 2 CC6.3, CC7.2 | NIST CSF PR.PS-04"
R-007,MFA coverage gap on legacy applications,Authentication,"MFA is enforced via Okta for all SSO-integrated applications, but the Legacy E-Discovery App and certain break-glass paths sit outside SSO and are not MFA-protected.","A credential for one of the non-SSO applications is compromised via phishing or reuse, and there is no second factor to stop the takeover.",3,4,12,Medium,MFA enforced through Okta for all federated applications.,50,6,Low,Mitigate,"DRAFT: Extend SSO/MFA coverage to the remaining local-auth surfaces, prioritizing the Legacy E-Discovery App's admin functions first.",IT/Security Manager,2026-12-01,,,,Open,SOC 2 CC6.1 | NIST CSF PR.AA-03
R-008,Role and privilege sprawl,Least Privilege,Application and cloud roles are broadly scoped; admin-level roles are sometimes assigned at onboarding to avoid follow-up access-request tickets.,"A standard employee's account is compromised, and because the role is over-privileged, the blast radius includes systems or data the role never needed to touch.",4,3,12,Medium,"Role definitions exist per application, but effectiveness has not been assessed and no least-privilege review has occurred.",0,12,Medium,Mitigate,"DRAFT: Run a least-privilege pass on the highest-risk roles first (cloud admin, HRIS admin, billing) and right-size before tackling the full role catalog.",Engineering Manager,2027-02-28,,,,Open,SOC 2 CC6.1 | NIST CSF PR.AA-05
R-009,Orphaned accounts with no mapped active employee,Account Lifecycle,"Periodic manual comparison between HRIS and Okta is performed inconsistently, allowing accounts to persist without a corresponding active employee record.",An orphaned account is used for unauthorized access because no one is actively responsible for noticing it should have been removed.,3,3,9,Medium,"Quarterly manual export comparison between HRIS and Okta, performed inconsistently.",25,7,Medium,Mitigate,DRAFT: Automate the HRIS-to-Okta reconciliation so it runs on a fixed schedule regardless of who remembers to do it manually.,IT/Security Manager,2026-12-15,,,,Open,SOC 2 CC6.2 | NIST CSF PR.AA-01
R-010,Mover events do not trigger access revocation,Joiner-Mover-Leaver,Internal role changes generate a request for new access but do not automatically revoke access tied to the employee's previous role.,"An employee who has changed departments accumulates access from both the old and new role, violating least privilege over time.",4,3,12,Medium,Role changes trigger new access requests through the standard ticketing process.,0,12,Medium,Mitigate,"DRAFT: Pair every mover-triggered access grant with an explicit revocation step for the prior role's access, owned by the same ticket.",IT/Security Manager,2027-01-15,,,,Open,SOC 2 CC6.1 | NIST CSF PR.AA-01
R-011,Admin console over-privilege on critical SaaS/cloud platforms,Privileged Access,"Admin-level roles on critical platforms (Okta, AWS, GitHub) are assigned broadly to IT/Security staff for convenience rather than following a tiered admin model.","Compromise of any one of several broadly-privileged admin accounts grants an attacker organization-wide control over identity, infrastructure, or source code.",3,4,12,Medium,Admin role assignment is tracked informally; no tiered (standard/elevated/break-glass) admin model exists.,25,9,Medium,Mitigate,"DRAFT: Introduce a tiered admin model so day-to-day work uses a lower-privilege role and full admin rights are reserved for specific, logged tasks.",IT/Security Manager,2027-01-31,,,,Open,"SOC 2 CC6.1, CC6.3 | NIST CSF PR.AA-05"
R-012,Contractor access lifecycle not tied to engagement end date,Account Lifecycle,"Contractor access is provisioned at engagement start, but the engagement end date is not systematically linked to automatic deprovisioning.",A contractor's access outlives their engagement because deprovisioning depends on someone remembering to file a request.,3,3,9,Medium,Contractor access provisioned at engagement start via standard IT ticket.,25,7,Medium,Mitigate,"DRAFT: Require an end date on every contractor access grant, enforced by an automatic expiry rather than a manual follow-up.",Procurement / IT Security,2026-11-30,,,,Open,SOC 2 CC6.2 | NIST CSF PR.AA-01
