control_id,title,objective,framework_mapping,linked_risk_ids,owner,implementation_status,frequency,evidence_required,test_procedure,control_rationale,status
C-01,MFA Enforcement for SSO-Integrated Applications,"Ensure every application capable of SSO integration requires multi-factor authentication before granting access, reducing the risk of credential-based account takeover.",SOC 2 CC6.1 | NIST CSF PR.AA-03,R-007,IT/Security Manager,Partially Implemented,Continuous (enforced at every login),Okta sign-on policy export showing MFA requirement per application; Okta MFA enrollment report.,Pull the Okta sign-on policy for a sample of in-scope applications and confirm MFA is required; cross-check MFA enrollment status for a sample of active users against the identity inventory.,"MFA enforcement covers the substantial majority of applications through Okta, and the exception is scoped narrowly enough (two specific local admin credentials) that it doesn't undermine the control's overall objective. This is a case where 'good enough given the constraints' is an honest, defensible characterization rather than an excuse.",Active
C-02,Joiner-Mover-Leaver (JML) Provisioning Process,"Ensure access is granted, changed, and removed in step with HR lifecycle events (hire, transfer, termination) rather than depending on informal follow-up.","SOC 2 CC6.1, CC6.2 | NIST CSF PR.AA-01","R-001, R-010",VP Engineering,Partially Implemented,Per-Event (triggered by each HR change),"Sample of new-hire, transfer, and termination tickets with corresponding Okta/system access changes and timestamps.",Select a sample of recent joiner and mover events from the identity inventory; verify a corresponding access request/grant exists and that access from the prior role (for movers) was revoked.,This control is rated Partially Implemented because the process exists on paper but has no enforcement mechanism. It depends entirely on a person remembering to file and act on a ticket. That is consistent with the Mitigate treatment on R-001. The fix for this control and the fix for R-001 are the same thing: automate the trigger so the control does not depend on human memory.,Active
C-03,Termination Deprovisioning (Offboarding),Ensure system access is fully revoked at or before an employee's termination date.,"SOC 2 CC6.2, CC6.3 | NIST CSF PR.AA-01",R-002,IT/Security Manager,Partially Implemented,Per-Event,Termination date from HRIS compared against Okta deactivation timestamp for a sample of terminated employees.,"Select a sample of terminated employees from the identity inventory; confirm Okta status is Deprovisioned/Suspended as of the termination date, with no gap exceeding one business day.","This control is only Partially Implemented because notification depends entirely on a manager remembering to tell IT. The identity inventory already proves the gap is real, since several terminated employees are still Active in Okta. The fix is tying deprovisioning directly to the HRIS termination event so it happens automatically, the same event-driven approach behind the fix for R-002 and C-02.",Active
C-04,Quarterly UAR for Privileged & Admin Roles,Periodically confirm that every privileged or admin-level access grant is still necessary and appropriately scoped.,"SOC 2 CC6.1, CC6.3 | NIST CSF PR.AA-05",R-004,Compliance Analyst,Partially Implemented,Quarterly (target; currently closer to annual in practice),"UAR completion record per privileged/admin account, including reviewer identity and review date.","For a sample of privileged/admin accounts, confirm a UAR was completed within the last 90 days and that the reviewer's decision is documented.","This control is Partially Implemented because the review activity itself happens, but nothing enforces the cadence or tracks completion centrally. The identity inventory shows this concretely: several privileged accounts have stale or missing review dates. A control that runs on inconsistent timing with no completion record isn't fully reliable even if most reviews do eventually happen.",Active
C-05,Service Account Ownership & Review,Ensure every service/system account has a named accountable owner who periodically attests to its continued need.,SOC 2 CC6.1 | NIST CSF PR.AA-05,R-003,IT/Security Manager,Partially Implemented,Semi-Annual,Service account inventory with owner field populated; owner attestation record per review cycle.,Sample service accounts from the inventory and confirm an owner is assigned and a review was completed within the last two review cycles.,"This control is rated Partially Implemented for a specific reason: ownership assignment happened once, as a cleanup exercise, but there is no recurring cadence forcing it to stay current. A semi-annual attestation cycle is what turns a one-time fix into an actual control, since new service accounts get created between cycles and will drift back into unowned status without it.",Active
C-06,Privileged Session Logging & Break-Glass Monitoring,"Ensure interactive privileged sessions and emergency break-glass credential use are logged and reviewed, not just API-level activity.","SOC 2 CC6.3, CC7.2 | NIST CSF PR.PS-04","R-006, R-014",IT/Security Manager,Designed (not yet implemented),"Continuous, with monthly log review",Session recording/log export for a sample of privileged sessions; break-glass credential checkout log with reviewer sign-off.,Attempt to retrieve a session-level log for a sample privileged action; confirm break-glass credential checkout events are logged and reviewed.,"Grouping R-006 and R-014 under one control makes sense because they are the same underlying gap, interactive privileged access isn't logged, whether that access is routine admin work or emergency break-glass use. Building one control that covers both is more efficient than designing two separate logging mechanisms for what is really one blind spot.",Active
C-07,Vendor / Third-Party Access Review,Periodically confirm that vendor and subprocessor access to Veridian systems and client data remains necessary and appropriately scoped.,SOC 2 CC9.2 | NIST CSF GV.SC-06,R-005,Legal & Compliance,Partially Implemented,Annual (tied to contract renewal),Vendor access inventory with last-reviewed date; SOC 2 report or security questionnaire on file for vendors accessing client data.,Sample vendors from the vendor access inventory that access client data; confirm a review occurred within the last 12 months and that access scope matches the current engagement.,"This control is only Partially Implemented because review timing is tied to contract renewal instead of running on its own independent schedule. A vendor on a multi-year contract can go years between reviews even though their access hasn't been re-evaluated at all in that time. Decoupling the review cadence from the renewal cycle is what would actually close this gap, tying a control's frequency to a business event that has nothing to do with risk isn't the same as tying it to actual risk exposure.",Active
C-08,Least-Privilege Role Design & Entitlement Review,"Ensure application and cloud roles grant only the access needed for a given job function, and that entitlements are periodically re-validated against actual need.","SOC 2 CC6.1, CC6.3 | NIST CSF PR.AA-05","R-008, R-011",Engineering Manager,Designed (not yet implemented),"Annual, with review triggered by role changes",Role definition documentation; entitlement review record for a sample of roles.,Select a sample of high-privilege roles and compare granted entitlements against documented job responsibilities; confirm any excess is flagged and tracked.,"DRAFT: No least-privilege review has been performed yet across the role catalog — this is catalogued as a planned control, not a mature one, and the plan is to start with the highest-risk roles first.",Active
C-09,Contractor Access Lifecycle Management,Ensure contractor access is time-bound to the engagement period and does not require a manual step to expire.,SOC 2 CC6.2 | NIST CSF PR.AA-01,R-012,Procurement / IT Security,Partially Implemented,"Per-Event, with expiry enforced automatically once implemented",Contractor engagement records with end dates; corresponding access expiry or deprovisioning timestamp.,Sample contractor accounts from the identity inventory; confirm access was revoked at or shortly after the documented engagement end date.,"DRAFT: Contractor access is provisioned consistently at engagement start, but end-date enforcement is manual today, which is the specific gap this control is meant to close going forward.",Active
C-10,Orphaned Account Reconciliation,"Ensure every active account in Okta and connected systems maps to a current, active employee or an approved non-human account owner.",SOC 2 CC6.2 | NIST CSF PR.AA-01,R-009,IT/Security Manager,Partially Implemented,Quarterly (target; currently manual and inconsistent),HRIS-to-Okta reconciliation report and resolution record for any discrepancies found.,Compare the Okta active-user export against the HRIS active-employee list for a sample period; confirm any mismatches were investigated and resolved.,"DRAFT: The reconciliation is manual and performed inconsistently today, so this control is only partially relied upon until it is automated.",Active
